#Data Set Export - Rainfall.Continuous@A64971,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1978-08-06 08:00:00,0.9,200,5,
1978-08-11 08:00:00,0,200,5,
1978-08-12 08:00:00,0.1,200,5,
1978-08-14 08:00:00,0,200,5,
1978-08-15 08:00:00,16,200,5,
1978-08-16 08:00:00,0.2,200,5,
1978-08-17 08:00:00,1.6,200,5,
1978-08-18 08:00:00,6.5,200,5,
1978-08-19 08:00:00,1.8,200,5,
1978-08-20 08:00:00,2.1,200,5,
1978-08-21 08:00:00,0.1,200,5,
1978-08-22 08:00:00,8.6,200,5,
1978-08-23 08:00:00,10.8,200,5,
1978-08-24 08:00:00,0,200,5,
1978-08-25 08:00:00,6.3,200,5,
1978-08-26 08:00:00,14.6,200,5,
1978-08-27 08:00:00,6.3,200,5,
1978-08-28 08:00:00,11.5,200,5,
1978-08-29 08:00:00,7.7,200,5,
1978-08-30 08:00:00,1,200,5,
1978-08-31 08:00:00,0.1,200,5,
1978-09-01 08:00:00,1,200,5,
1978-09-02 08:00:00,8.3,200,5,
1978-09-09 08:00:00,0,200,5,
1978-09-10 08:00:00,8.8,200,5,
1978-09-11 08:00:00,2.2,200,5,
1978-09-14 08:00:00,0,200,5,
1978-09-15 08:00:00,7.1,200,5,
1978-09-16 08:00:00,8.4,200,5,
1978-09-17 08:00:00,5.1,200,5,
1978-09-18 08:00:00,33,200,5,
1978-09-19 08:00:00,7.9,200,5,
1978-09-21 08:00:00,0,200,5,
1978-09-22 08:00:00,0.3,200,5,
1978-09-24 08:00:00,0,200,5,
1978-09-25 08:00:00,23,200,5,
1978-09-26 08:00:00,19.5,200,5,
1978-09-27 08:00:00,0.3,200,5,
1978-09-28 08:00:00,1.9,200,5,
1978-09-29 08:00:00,7.8,200,5,
1978-09-30 08:00:00,3.6,200,5,
1978-10-01 08:00:00,5.7,200,5,
1978-10-06 08:00:00,0,200,5,
1978-10-07 08:00:00,6.1,200,5,
1978-10-08 08:00:00,0.4,200,5,
1978-10-09 08:00:00,3.6,200,5,
1978-10-11 08:00:00,0,200,5,
1978-10-12 08:00:00,0.3,200,5,
1978-10-15 08:00:00,0,200,5,
1978-10-16 08:00:00,13.5,200,5,
1978-10-18 08:00:00,0,200,5,
1978-10-19 08:00:00,1.5,200,5,
1978-10-20 08:00:00,27.8,200,5,
1978-10-21 08:00:00,6.1,200,5,
1978-10-22 08:00:00,1.4,200,5,
1978-10-27 08:00:00,0,200,5,
1978-10-28 08:00:00,4.4,200,5,
1978-11-03 08:00:00,0,200,5,
1978-11-04 08:00:00,0.1,200,5,
1978-11-05 08:00:00,1,200,5,
1978-11-06 08:00:00,0.2,200,5,
1978-11-10 08:00:00,0,200,5,
1978-11-11 08:00:00,0.3,200,5,
1978-11-12 08:00:00,44.1,200,5,
1978-11-13 08:00:00,48,200,5,
1978-11-14 08:00:00,0,200,5,
1978-11-15 08:00:00,3,200,5,
1978-11-16 08:00:00,1.5,200,5,
1978-11-23 08:00:00,0,200,5,
1978-11-24 08:00:00,0.2,200,5,
1978-11-25 08:00:00,0,200,5,
1978-11-26 08:00:00,0.4,200,5,
1978-12-03 08:00:00,0,200,5,
1978-12-04 08:00:00,0,200,5,
1978-12-05 08:00:00,3.7,200,5,
1978-12-06 08:00:00,34.8,200,5,
1978-12-07 08:00:00,4,200,5,
1978-12-08 08:00:00,0,200,5,
1978-12-09 08:00:00,4.1,200,5,
1978-12-10 08:00:00,6.2,200,5,
1978-12-11 08:00:00,9.5,200,5,
1978-12-12 08:00:00,4.2,200,5,
1978-12-13 08:00:00,7.7,200,5,
1978-12-14 08:00:00,3.1,200,5,
1978-12-15 08:00:00,0.3,200,5,
1978-12-16 08:00:00,3.3,200,5,
1978-12-17 08:00:00,0,200,5,
1978-12-18 08:00:00,10.5,200,5,
1978-12-19 08:00:00,1,200,5,
1978-12-20 08:00:00,0.2,200,5,
1978-12-21 08:00:00,4,200,5,
1978-12-22 08:00:00,4,200,5,
1978-12-23 08:00:00,2.9,200,5,
1978-12-24 08:00:00,5.3,200,5,
1978-12-31 08:00:00,0,200,5,
1979-01-01 08:00:00,0,200,5,
1979-01-03 08:00:00,0,200,5,
1979-01-04 08:00:00,0.3,200,5,
1979-01-05 08:00:00,0.4,200,5,
1979-01-12 08:00:00,0,200,5,
1979-01-13 08:00:00,0,200,5,
1979-01-14 08:00:00,12.2,200,5,
1979-01-16 08:00:00,0,200,5,
1979-01-17 08:00:00,0.3,200,5,
1979-01-21 08:00:00,0,200,5,
1979-01-22 08:00:00,7,200,5,
1979-01-23 08:00:00,9,200,5,
1979-01-24 08:00:00,0.3,200,5,
1979-01-31 08:00:00,0,200,5,
1979-02-01 08:00:00,0,200,5,
1979-02-02 08:00:00,7.8,200,5,
1979-02-03 08:00:00,0,200,5,
1979-02-04 08:00:00,2.8,200,5,
1979-02-05 08:00:00,10.5,200,5,
1979-02-06 08:00:00,4.2,200,5,
1979-02-09 08:00:00,0,200,5,
1979-02-10 08:00:00,1.2,200,5,
1979-02-12 08:00:00,0,200,5,
1979-02-13 08:00:00,0.4,200,5,
1979-02-14 08:00:00,2.2,200,5,
1979-02-15 08:00:00,26,200,5,
1979-02-16 08:00:00,3.9,200,5,
1979-02-17 08:00:00,1.4,200,5,
1979-02-18 08:00:00,82.7,200,5,
1979-02-19 08:00:00,29.3,200,5,
1979-02-21 08:00:00,0,200,5,
1979-02-22 08:00:00,1.3,200,5,
1979-02-23 08:00:00,0.9,200,5,
1979-02-24 08:00:00,0.8,200,5,
1979-02-25 08:00:00,23.1,200,5,
1979-02-27 08:00:00,0,200,5,
1979-02-28 08:00:00,1.4,200,5,
1979-03-01 08:00:00,10.2,200,5,
1979-03-08 08:00:00,0,200,5,
1979-03-09 08:00:00,0,200,5,
1979-03-10 08:00:00,16.8,200,5,
1979-03-11 08:00:00,0,200,5,
1979-03-12 08:00:00,3.6,200,5,
1979-03-13 08:00:00,0,200,5,
1979-03-14 08:00:00,2.1,200,5,
1979-03-15 08:00:00,2.1,200,5,
1979-03-16 08:00:00,20,200,5,
1979-03-17 08:00:00,1.1,200,5,
1979-03-18 08:00:00,0,200,5,
1979-03-19 08:00:00,68,200,5,
1979-03-20 08:00:00,15.3,200,5,
1979-03-21 08:00:00,0.7,200,5,
1979-03-22 08:00:00,2.9,200,5,
1979-03-23 08:00:00,0,200,5,
1979-03-24 08:00:00,0.2,200,5,
1979-03-26 08:00:00,0,200,5,
1979-03-27 08:00:00,0.1,200,5,
1979-03-28 08:00:00,0,200,5,
1979-03-29 08:00:00,1,200,5,
1979-03-30 08:00:00,1.1,200,5,
1979-03-31 08:00:00,0.8,200,5,
1979-04-01 08:00:00,0,200,5,
1979-04-08 08:00:00,0,200,5,
1979-04-09 08:00:00,0.3,200,5,
1979-04-10 08:00:00,13.5,200,5,
1979-04-11 08:00:00,0.6,200,5,
1979-04-12 08:00:00,32.5,200,5,
1979-04-13 08:00:00,19.3,200,5,
1979-04-14 08:00:00,0,200,5,
1979-04-15 08:00:00,35.5,200,5,
1979-04-16 08:00:00,1.9,200,5,
1979-04-22 08:00:00,0,200,5,
1979-04-23 08:00:00,4.1,200,5,
1979-04-24 08:00:00,2.5,200,5,
1979-04-25 08:00:00,3.2,200,5,
1979-04-26 08:00:00,2.2,200,5,
1979-04-27 08:00:00,0.2,200,5,
1979-04-28 08:00:00,5.3,200,5,
1979-05-01 08:00:00,0,200,5,
1979-05-02 08:00:00,1,200,5,
1979-05-07 08:00:00,0,200,5,
1979-05-08 08:00:00,0.3,200,5,
1979-05-09 08:00:00,1.8,200,5,
1979-05-10 08:00:00,6,200,5,
1979-05-11 08:00:00,0,200,5,
1979-05-12 08:00:00,3.5,200,5,
1979-05-13 08:00:00,0,200,5,
1979-05-14 08:00:00,2.4,200,5,
1979-05-15 08:00:00,12.2,200,5,
1979-05-16 08:00:00,24,200,5,
1979-05-17 08:00:00,8.5,200,5,
1979-05-18 08:00:00,2,200,5,
1979-05-23 08:00:00,0,200,5,
1979-05-24 08:00:00,0.2,200,5,
1979-05-28 08:00:00,0,200,5,
1979-05-29 08:00:00,6.3,200,5,
1979-05-30 08:00:00,5.1,200,5,
1979-05-31 08:00:00,5.1,200,5,
1979-06-01 08:00:00,0,200,5,
1979-06-02 08:00:00,26.3,200,5,
1979-06-03 08:00:00,1.5,200,5,
1979-06-06 08:00:00,0,200,5,
1979-06-07 08:00:00,0.6,200,5,
1979-06-08 08:00:00,2.5,200,5,
1979-06-09 08:00:00,0.9,200,5,
1979-06-10 08:00:00,0,200,5,
1979-06-11 08:00:00,0.3,200,5,
1979-06-12 08:00:00,1,200,5,
1979-06-13 08:00:00,24,200,5,
1979-06-14 08:00:00,32,200,5,
1979-06-15 08:00:00,1.8,200,5,
1979-06-16 08:00:00,0.2,200,5,
1979-06-17 08:00:00,1.8,200,5,
1979-06-18 08:00:00,2,200,5,
1979-06-19 08:00:00,1,200,5,
1979-06-20 08:00:00,1,200,5,
1979-06-23 08:00:00,0,200,5,
1979-06-24 08:00:00,4.3,200,5,
1979-06-25 08:00:00,19.4,200,5,
1979-06-26 08:00:00,5.5,200,5,
1979-06-27 08:00:00,0.1,200,5,
1979-06-28 08:00:00,0,200,5,
1979-06-29 08:00:00,0.6,200,5,
1979-06-30 08:00:00,0,200,5,
1979-07-01 08:00:00,118.5,200,5,
1979-07-02 08:00:00,25.5,200,5,
1979-07-03 08:00:00,2.8,200,5,
1979-07-04 08:00:00,10.4,200,5,
1979-07-05 08:00:00,5.6,200,5,
1979-07-11 08:00:00,0,200,5,
1979-07-12 08:00:00,15.5,200,5,
1979-07-13 08:00:00,0.3,200,5,
1979-07-14 08:00:00,0,200,5,
1979-07-15 08:00:00,9.4,200,5,
1979-07-16 08:00:00,2.9,200,5,
1979-07-17 08:00:00,3,200,5,
1979-07-18 08:00:00,0.5,200,5,
1979-07-19 08:00:00,0,200,5,
1979-07-20 08:00:00,4,200,5,
1979-07-21 08:00:00,0,200,5,
1979-07-22 08:00:00,1.6,200,5,
1979-07-23 08:00:00,13,200,5,
1979-07-24 08:00:00,0.1,200,5,
1979-07-25 08:00:00,18.3,200,5,
1979-07-26 08:00:00,13.7,200,5,
1979-07-27 08:00:00,0,200,5,
1979-07-28 08:00:00,0.6,200,5,
1979-07-29 08:00:00,17.5,200,5,
1979-07-30 08:00:00,7,200,5,
1979-07-31 08:00:00,0,200,5,
1979-08-01 08:00:00,55.5,200,5,
1979-08-02 08:00:00,22,200,5,
1979-08-03 08:00:00,2,200,5,
1979-08-04 08:00:00,1.5,200,5,
1979-08-05 08:00:00,3.7,200,5,
1979-08-06 08:00:00,5,200,5,
1979-08-07 08:00:00,3.5,200,5,
1979-08-08 08:00:00,5.4,200,5,
1979-08-09 08:00:00,13.4,200,5,
1979-08-10 08:00:00,4.1,200,5,
1979-08-11 08:00:00,2,200,5,
1979-08-12 08:00:00,2.4,200,5,
1979-08-14 08:00:00,0,200,5,
1979-08-15 08:00:00,7.5,200,5,
1979-08-16 08:00:00,0.2,200,5,
1979-08-17 08:00:00,0,200,5,
1979-08-18 08:00:00,0.6,200,5,
1979-08-19 08:00:00,0.1,200,5,
1979-08-20 08:00:00,8.2,200,5,
1979-08-21 08:00:00,9,200,5,
1979-08-22 08:00:00,25.9,200,5,
1979-08-23 08:00:00,14,200,5,
1979-08-24 08:00:00,4.9,200,5,
1979-08-25 08:00:00,0.6,200,5,
1979-08-26 08:00:00,0.6,200,5,
1979-08-27 08:00:00,3.6,200,5,
1979-08-31 08:00:00,0,200,5,
1979-09-01 08:00:00,0.1,200,5,
1979-09-02 08:00:00,15.2,200,5,
1979-09-03 08:00:00,8.2,200,5,
1979-09-04 08:00:00,17.9,200,5,
1979-09-05 08:00:00,0,200,5,
1979-09-06 08:00:00,0.7,200,5,
1979-09-07 08:00:00,2.6,200,5,
1979-09-08 08:00:00,0,200,5,
1979-09-09 08:00:00,7.1,200,5,
1979-09-10 08:00:00,1.9,200,5,
1979-09-11 08:00:00,5.3,200,5,
1979-09-12 08:00:00,0.3,200,5,
1979-09-13 08:00:00,0,200,5,
1979-09-14 08:00:00,0.7,200,5,
1979-09-15 08:00:00,9.5,200,5,
1979-09-16 08:00:00,37.2,200,5,
1979-09-17 08:00:00,4.4,200,5,
1979-09-18 08:00:00,1.1,200,5,
1979-09-19 08:00:00,5.5,200,5,
1979-09-20 08:00:00,0.5,200,5,
1979-09-21 08:00:00,3.2,200,5,
1979-09-22 08:00:00,2,200,5,
1979-09-23 08:00:00,0,200,5,
1979-09-24 08:00:00,0.5,200,5,
1979-09-25 08:00:00,1.4,200,5,
1979-10-01 08:00:00,0,200,5,
1979-10-02 08:00:00,4,200,5,
1979-10-03 08:00:00,31.4,200,5,
1979-10-04 08:00:00,14.2,200,5,
1979-10-06 08:00:00,0,200,5,
1979-10-07 08:00:00,3.4,200,5,
1979-10-08 08:00:00,9,200,5,
1979-10-09 08:00:00,18.1,200,5,
1979-10-10 08:00:00,17.5,200,5,
1979-10-13 08:00:00,0,200,5,
1979-10-14 08:00:00,0.6,200,5,
1979-10-15 08:00:00,15.7,200,5,
1979-10-16 08:00:00,0.3,200,5,
1979-10-19 08:00:00,0,200,5,
1979-10-20 08:00:00,2.1,200,5,
1979-10-21 08:00:00,2.2,200,5,
1979-10-22 08:00:00,1.8,200,5,
1979-10-23 08:00:00,2.4,200,5,
1979-10-29 08:00:00,0,200,5,
1979-10-30 08:00:00,8.5,200,5,
1979-10-31 08:00:00,20,200,5,
1979-11-01 08:00:00,8.1,200,5,
1979-11-02 08:00:00,0.5,200,5,
1979-11-07 08:00:00,0,200,5,
1979-11-08 08:00:00,1.8,200,5,
1979-11-09 08:00:00,1,200,5,
1979-11-10 08:00:00,7.1,200,5,
1979-11-11 08:00:00,1.2,200,5,
1979-11-12 08:00:00,1,200,5,
1979-11-13 08:00:00,5.3,200,5,
1979-11-14 08:00:00,24,200,5,
1979-11-15 08:00:00,18.5,200,5,
1979-11-18 08:00:00,0,200,5,
1979-11-19 08:00:00,4.5,200,5,
1979-11-20 08:00:00,25,200,5,
1979-11-22 08:00:00,0,200,5,
1979-11-23 08:00:00,17.6,200,5,
1979-11-29 08:00:00,0,200,5,
1979-11-30 08:00:00,5.2,200,5,
1979-12-03 08:00:00,0,200,5,
1979-12-04 08:00:00,2.3,200,5,
1979-12-06 08:00:00,0,200,5,
1979-12-07 08:00:00,23.5,200,5,
1979-12-08 08:00:00,1.5,200,5,
1979-12-10 08:00:00,0,200,5,
1979-12-11 08:00:00,1.8,200,5,
1979-12-12 08:00:00,0,200,5,
1979-12-13 08:00:00,3.7,200,5,
1979-12-14 08:00:00,30,200,5,
1979-12-15 08:00:00,0.9,200,5,
1979-12-18 08:00:00,0,200,5,
1979-12-19 08:00:00,1.6,200,5,
1979-12-20 08:00:00,0,200,5,
1979-12-21 08:00:00,0.6,200,5,
1979-12-25 08:00:00,0,200,5,
1979-12-26 08:00:00,12.3,200,5,
1979-12-27 08:00:00,33.2,200,5,
1979-12-28 08:00:00,0.7,200,5,
1979-12-29 08:00:00,8.1,200,5,
1979-12-30 08:00:00,0,200,5,
1979-12-31 08:00:00,1.1,200,5,
1980-01-01 08:00:00,22.5,200,5,
1980-01-02 08:00:00,4.3,200,5,
1980-01-03 08:00:00,1.6,200,5,
1980-01-04 08:00:00,0.4,200,5,
1980-01-11 08:00:00,0,200,5,
1980-01-12 08:00:00,1.5,200,5,
1980-01-13 08:00:00,4.2,200,5,
1980-01-14 08:00:00,0,200,5,
1980-01-15 08:00:00,0.4,200,5,
1980-01-16 08:00:00,13.4,200,5,
1980-01-17 08:00:00,7.5,200,5,
1980-01-18 08:00:00,12.7,200,5,
1980-01-19 08:00:00,1.2,200,5,
1980-01-20 08:00:00,0.4,200,5,
1980-01-21 08:00:00,13.8,200,5,
1980-01-22 08:00:00,17,200,5,
1980-01-23 08:00:00,11,200,5,
1980-01-24 08:00:00,0,200,5,
1980-01-25 08:00:00,0.5,200,5,
1980-02-01 08:00:00,0,200,5,
1980-02-07 08:00:00,0,200,5,
1980-02-08 08:00:00,0.5,200,5,
1980-02-10 08:00:00,0,200,5,
1980-02-11 08:00:00,1.5,200,5,
1980-02-13 08:00:00,0,200,5,
1980-02-14 08:00:00,30,200,5,
1980-02-15 08:00:00,28.3,200,5,
1980-02-16 08:00:00,1.6,200,5,
1980-02-17 08:00:00,0,200,5,
1980-02-18 08:00:00,3.3,200,5,
1980-02-19 08:00:00,2,200,5,
1980-02-21 08:00:00,0,200,5,
1980-02-22 08:00:00,3.5,200,5,
1980-02-23 08:00:00,8.7,200,5,
1980-02-24 08:00:00,1.6,200,5,
1980-02-25 08:00:00,0,200,5,
1980-02-26 08:00:00,7.6,200,5,
1980-02-27 08:00:00,1,200,5,
1980-02-28 08:00:00,0.1,200,5,
1980-02-29 08:00:00,0,200,5,
1980-03-01 08:00:00,6.9,200,5,
1980-03-02 08:00:00,6.5,200,5,
1980-03-03 08:00:00,0.2,200,5,
1980-03-07 08:00:00,0,200,5,
1980-03-08 08:00:00,5.8,200,5,
1980-03-12 08:00:00,0,200,5,
1980-03-13 08:00:00,4,200,5,
1980-03-14 08:00:00,0,200,5,
1980-03-15 08:00:00,36.7,200,5,
1980-03-16 08:00:00,87.5,200,5,
1980-03-17 08:00:00,0.7,200,5,
1980-03-18 08:00:00,5,200,5,
1980-03-20 08:00:00,0,200,5,
1980-03-21 08:00:00,0.6,200,5,
1980-03-23 08:00:00,0,200,5,
1980-03-24 08:00:00,33,200,5,
1980-03-25 08:00:00,0,200,5,
1980-03-26 08:00:00,0.1,200,5,
1980-03-27 08:00:00,0.7,200,5,
1980-03-31 08:00:00,0,200,5,
1980-04-01 08:00:00,13.3,200,5,
1980-04-02 08:00:00,1.7,200,5,
1980-04-03 08:00:00,16.2,200,5,
1980-04-04 08:00:00,2.1,200,5,
1980-04-05 08:00:00,0,200,5,
1980-04-06 08:00:00,0.1,200,5,
1980-04-07 08:00:00,4.1,200,5,
1980-04-08 08:00:00,0.3,200,5,
1980-04-09 08:00:00,3,200,5,
1980-04-10 08:00:00,0,200,5,
1980-04-11 08:00:00,1,200,5,
1980-04-12 08:00:00,2,200,5,
1980-04-19 08:00:00,0,200,5,
1980-04-26 08:00:00,0,200,5,
1980-04-27 08:00:00,1.8,200,5,
1980-04-28 08:00:00,14.3,200,5,
1980-04-29 08:00:00,2.9,200,5,
1980-04-30 08:00:00,5.6,200,5,
1980-05-01 08:00:00,4.8,200,5,
1980-05-02 08:00:00,0.3,200,5,
1980-05-03 08:00:00,0,200,5,
1980-05-04 08:00:00,0.4,200,5,
1980-05-05 08:00:00,0,200,5,
1980-05-06 08:00:00,0.6,200,5,
1980-05-07 08:00:00,0,200,5,
1980-05-08 08:00:00,0.5,200,5,
1980-05-11 08:00:00,0,200,5,
1980-05-12 08:00:00,0.2,200,5,
1980-05-14 08:00:00,0,200,5,
1980-05-15 08:00:00,6.6,200,5,
1980-05-16 08:00:00,4,200,5,
1980-05-17 08:00:00,0,200,5,
1980-05-18 08:00:00,7.5,200,5,
1980-05-19 08:00:00,8,200,5,
1980-05-20 08:00:00,2,200,5,
1980-05-21 08:00:00,0.1,200,5,
1980-05-22 08:00:00,18.5,200,5,
1980-05-23 08:00:00,2.2,200,5,
1980-05-24 08:00:00,0,200,5,
1980-05-25 08:00:00,0.4,200,5,
1980-05-26 08:00:00,4,200,5,
1980-05-27 08:00:00,5.2,200,5,
1980-05-31 08:00:00,0,200,5,
1980-06-01 08:00:00,0.6,200,5,
1980-06-02 08:00:00,24,200,5,
1980-06-03 08:00:00,2.8,200,5,
1980-06-04 08:00:00,13.2,200,5,
1980-06-05 08:00:00,4.1,200,5,
1980-06-06 08:00:00,0.3,200,5,
1980-06-07 08:00:00,6.2,200,5,
1980-06-08 08:00:00,1.9,200,5,
1980-06-09 08:00:00,0.4,200,5,
1980-06-10 08:00:00,0.1,200,5,
1980-06-11 08:00:00,0.2,200,5,
1980-06-12 08:00:00,7.2,200,5,
1980-06-13 08:00:00,1,200,5,
1980-06-14 08:00:00,5,200,5,
1980-06-15 08:00:00,0.1,200,5,
1980-06-16 08:00:00,0,200,5,
1980-06-17 08:00:00,2.5,200,5,
1980-06-20 08:00:00,0,200,5,
1980-06-21 08:00:00,1.2,200,5,
1980-06-22 08:00:00,1.8,200,5,
1980-06-24 08:00:00,0,200,5,
1980-06-25 08:00:00,1.3,200,5,
1980-06-26 08:00:00,1,200,5,
1980-06-29 08:00:00,0,200,5,
1980-06-30 08:00:00,4.5,200,5,
1980-07-01 08:00:00,26.8,200,5,
1980-07-02 08:00:00,0.3,200,5,
1980-07-03 08:00:00,5.4,200,5,
1980-07-04 08:00:00,6.5,200,5,
1980-07-05 08:00:00,1.1,200,5,
1980-07-07 08:00:00,0,200,5,
1980-07-08 08:00:00,2,200,5,
1980-07-09 08:00:00,1,200,5,
1980-07-10 08:00:00,7.2,200,5,
1980-07-11 08:00:00,2.5,200,5,
1980-07-12 08:00:00,15.7,200,5,
1980-07-13 08:00:00,6.7,200,5,
1980-07-14 08:00:00,4.6,200,5,
1980-07-15 08:00:00,4.5,200,5,
1980-07-16 08:00:00,4.2,200,5,
1980-07-19 08:00:00,0,200,5,
1980-07-20 08:00:00,0.4,200,5,
1980-07-21 08:00:00,58,200,5,
1980-07-22 08:00:00,0.1,200,5,
1980-07-23 08:00:00,14,200,5,
1980-07-24 08:00:00,4.5,200,5,
1980-07-25 08:00:00,0.1,200,5,
1980-07-27 08:00:00,0,200,5,
1980-07-28 08:00:00,0.8,200,5,
1980-07-31 08:00:00,0,200,5,
1980-08-01 08:00:00,4.7,200,5,
1980-08-02 08:00:00,13.9,200,5,
1980-08-03 08:00:00,12.1,200,5,
1980-08-04 08:00:00,0.9,200,5,
1980-08-05 08:00:00,0,200,5,
1980-08-06 08:00:00,1.1,200,5,
1980-08-07 08:00:00,3,200,5,
1980-08-13 08:00:00,0,200,5,
1980-08-14 08:00:00,2.2,200,5,
1980-08-16 08:00:00,0,200,5,
1980-08-17 08:00:00,15.5,200,5,
1980-08-18 08:00:00,1.6,200,5,
1980-08-19 08:00:00,0,200,5,
1980-08-20 08:00:00,1,200,5,
1980-08-21 08:00:00,1.4,200,5,
1980-08-23 08:00:00,0,200,5,
1980-08-24 08:00:00,0.1,200,5,
1980-08-25 08:00:00,2.8,200,5,
1980-08-26 08:00:00,0.1,200,5,
1980-08-27 08:00:00,0.3,200,5,
1980-08-28 08:00:00,22.5,200,5,
1980-08-29 08:00:00,1.9,200,5,
1980-08-30 08:00:00,0,200,5,
1980-08-31 08:00:00,2.2,200,5,
1980-09-01 08:00:00,0,200,5,
1980-09-02 08:00:00,1.2,200,5,
1980-09-03 08:00:00,1.9,200,5,
1980-09-04 08:00:00,4,200,5,
1980-09-05 08:00:00,12.6,200,5,
1980-09-06 08:00:00,0.5,200,5,
1980-09-07 08:00:00,4.6,200,5,
1980-09-08 08:00:00,0.5,200,5,
1980-09-09 08:00:00,5,200,5,
1980-09-10 08:00:00,2,200,5,
1980-09-11 08:00:00,9.7,200,5,
1980-09-12 08:00:00,1.3,200,5,
1980-09-13 08:00:00,0.8,200,5,
1980-09-14 08:00:00,2.6,200,5,
1980-09-15 08:00:00,8.2,200,5,
1980-09-16 08:00:00,0.8,200,5,
1980-09-17 08:00:00,3.5,200,5,
1980-09-18 08:00:00,0.4,200,5,
1980-09-19 08:00:00,0,200,5,
1980-09-20 08:00:00,5.1,200,5,
1980-09-21 08:00:00,4.9,200,5,
1980-09-22 08:00:00,0.1,200,5,
1980-09-23 08:00:00,3.5,200,5,
1980-09-27 08:00:00,0,200,5,
1980-09-28 08:00:00,9.2,200,5,
1980-09-29 08:00:00,0,200,5,
1980-09-30 08:00:00,0.2,200,5,
1980-10-05 08:00:00,0,200,5,
1980-10-06 08:00:00,0.6,200,5,
1980-10-08 08:00:00,0,200,5,
1980-10-09 08:00:00,2,200,5,
1980-10-10 08:00:00,0.1,200,5,
1980-10-11 08:00:00,1.7,200,5,
1980-10-12 08:00:00,0,200,5,
1980-10-13 08:00:00,2.5,200,5,
1980-10-14 08:00:00,0,200,5,
1980-10-15 08:00:00,1.3,200,5,
1980-10-16 08:00:00,3,200,5,
1980-10-17 08:00:00,4,200,5,
1980-10-18 08:00:00,9.3,200,5,
1980-10-19 08:00:00,4.8,200,5,
1980-10-20 08:00:00,0.8,200,5,
1980-10-27 08:00:00,0,200,5,
1980-10-28 08:00:00,0,200,5,
1980-10-29 08:00:00,0.1,200,5,
1980-10-30 08:00:00,4.7,200,5,
1980-10-31 08:00:00,0,200,5,
1980-11-01 08:00:00,0.7,200,5,
1980-11-02 08:00:00,1.2,200,5,
1980-11-03 08:00:00,10,200,5,
1980-11-04 08:00:00,0.2,200,5,
1980-11-05 08:00:00,29,200,5,
1980-11-06 08:00:00,0.8,200,5,
1980-11-07 08:00:00,0.8,200,5,
1980-11-08 08:00:00,51.6,200,5,
1980-11-09 08:00:00,3,200,5,
1980-11-10 08:00:00,0.4,200,5,
1980-11-11 08:00:00,0.6,200,5,
1980-11-12 08:00:00,1.7,200,5,
1980-11-15 08:00:00,0,200,5,
1980-11-16 08:00:00,2.1,200,5,
1980-11-17 08:00:00,1.6,200,5,
1980-11-18 08:00:00,0,200,5,
1980-11-19 08:00:00,1,200,5,
1980-11-20 08:00:00,0,200,5,
1980-11-21 08:00:00,1.9,200,5,
1980-11-23 08:00:00,0,200,5,
1980-11-24 08:00:00,1.5,200,5,
1980-11-25 08:00:00,7.3,200,5,
1980-11-26 08:00:00,6.5,200,5,
1980-11-27 08:00:00,4,200,5,
1980-11-28 08:00:00,0.1,200,5,
1980-11-29 08:00:00,19.7,200,5,
1980-11-30 08:00:00,16.3,200,5,
1980-12-01 08:00:00,5.4,200,5,
1980-12-02 08:00:00,0,200,5,
1980-12-03 08:00:00,0.3,200,5,
1980-12-08 08:00:00,0,200,5,
1980-12-09 08:00:00,0.6,200,5,
1980-12-16 08:00:00,0,200,5,
1980-12-18 08:00:00,0,200,5,
1980-12-19 08:00:00,1.5,200,5,
1980-12-20 08:00:00,15.3,200,5,
1980-12-21 08:00:00,0.7,200,5,
1980-12-22 08:00:00,0.3,200,5,
1980-12-23 08:00:00,51,200,5,
1980-12-24 08:00:00,2.4,200,5,
1980-12-25 08:00:00,0,200,5,
1980-12-26 08:00:00,0.3,200,5,
1980-12-27 08:00:00,0.5,200,5,
1980-12-28 08:00:00,10.3,200,5,
