#Data Set Export - Rainfall.Continuous@A6487A,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1992-03-08 08:00:00,8,500,5,
1992-03-09 08:00:00,0.4,500,5,
1992-03-10 08:00:00,0,500,5,
1992-03-11 08:00:00,0,500,5,
1992-03-12 08:00:00,0,500,5,
1992-03-13 08:00:00,0.8,500,5,
1992-03-14 08:00:00,0,500,5,
1992-03-15 09:00:00,0,500,5,
1992-03-16 09:00:00,0,500,5,
1992-03-17 09:00:00,2.4,500,5,
1992-03-18 09:00:00,1,500,5,
1992-03-19 09:00:00,0.2,500,5,
1992-03-20 09:00:00,0.2,500,5,
1992-03-21 09:00:00,0,500,5,
1992-03-22 09:00:00,7.4,500,5,
1992-03-23 09:00:00,2.8,500,5,
1992-03-24 09:00:00,0,500,5,
1992-03-29 09:00:00,0,500,5,
1992-03-30 09:00:00,0.8,500,5,
1992-03-31 09:00:00,0.6,500,5,
1992-04-01 09:00:00,0,500,5,
1992-04-02 09:00:00,0,500,5,
1992-04-03 09:00:00,4.8,500,5,
1992-04-04 09:00:00,2.4,500,5,
1992-04-05 09:00:00,0,500,5,
1992-04-10 09:00:00,0,500,5,
1992-04-11 09:00:00,43.2,500,5,
1992-04-12 09:00:00,0,500,5,
1992-04-13 09:00:00,0.2,500,5,
1992-04-14 09:00:00,0,500,5,
1992-04-15 09:00:00,0,500,5,
1992-04-16 09:00:00,0.2,500,5,
1992-04-17 09:00:00,0,500,5,
1992-04-24 09:00:00,0,500,5,
1992-04-26 09:00:00,0,500,5,
1992-04-27 09:00:00,13,500,5,
1992-04-28 09:00:00,0,500,5,
1992-04-29 09:00:00,0,500,5,
1992-04-30 09:00:00,0,500,5,
1992-05-01 09:00:00,0,500,5,
1992-05-02 09:00:00,1.6,500,5,
1992-05-03 09:00:00,11.6,500,5,
1992-05-04 09:00:00,8,500,5,
1992-05-05 09:00:00,0,500,5,
1992-05-06 09:00:00,0,500,5,
1992-05-07 09:00:00,0,500,5,
1992-05-08 09:00:00,10.6,500,5,
1992-05-09 09:00:00,5.6,500,5,
1992-05-10 09:00:00,1.4,500,5,
1992-05-11 09:00:00,0.2,500,5,
1992-05-12 09:00:00,5.2,500,5,
1992-05-13 09:00:00,1.2,500,5,
1992-05-14 09:00:00,0,500,5,
1992-05-15 09:00:00,4.8,500,5,
1992-05-16 09:00:00,1.2,500,5,
1992-05-17 09:00:00,2,500,5,
1992-05-18 09:00:00,0.2,500,5,
1992-05-19 09:00:00,0.2,500,5,
1992-05-20 09:00:00,1.4,500,5,
1992-05-21 09:00:00,0.8,500,5,
1992-05-22 09:00:00,0.2,500,5,
1992-05-23 09:00:00,0,500,5,
1992-05-24 09:00:00,5,500,5,
1992-05-25 09:00:00,4,500,5,
1992-05-26 09:00:00,4.4,500,5,
1992-05-27 09:00:00,0.2,500,5,
1992-05-28 09:00:00,21.4,500,5,
1992-05-29 09:00:00,12.2,500,5,
1992-05-30 09:00:00,0,500,5,
1992-05-31 09:00:00,0,500,5,
1992-06-01 09:00:00,0,500,5,
1992-06-02 09:00:00,0.2,500,5,
1992-06-03 09:00:00,0.2,500,5,
1992-06-04 09:00:00,1,500,5,
1992-06-05 09:00:00,0,500,5,
1992-06-06 09:00:00,13.2,500,5,
1992-06-07 09:00:00,3.6,500,5,
1992-06-08 09:00:00,2.2,500,5,
1992-06-09 09:00:00,0.4,500,5,
1992-06-10 09:00:00,0.2,500,5,
1992-06-11 09:00:00,0.2,500,5,
1992-06-12 09:00:00,13.2,500,5,
1992-06-13 09:00:00,0.2,500,5,
1992-06-14 09:00:00,12.6,500,5,
1992-06-15 09:00:00,6.8,500,5,
1992-06-16 09:00:00,4,500,5,
1992-06-17 09:00:00,0.6,500,5,
1992-06-18 09:00:00,1,500,5,
1992-06-19 09:00:00,10.8,500,5,
1992-06-20 09:00:00,6.8,500,5,
1992-06-21 09:00:00,0,500,5,
1992-06-22 09:00:00,0.8,500,5,
1992-06-23 09:00:00,0.2,500,5,
1992-06-24 09:00:00,0,500,5,
1992-06-25 09:00:00,0,500,5,
1992-06-26 09:00:00,0,500,5,
1992-06-27 09:00:00,0.2,500,5,
1992-06-28 09:00:00,0,500,5,
1992-06-29 09:00:00,0.4,500,5,
1992-06-30 09:00:00,0,500,5,
1992-07-01 09:00:00,0,500,5,
1992-07-02 09:00:00,2.2,500,5,
1992-07-03 09:00:00,3.6,500,5,
1992-07-04 09:00:00,2.2,500,5,
1992-07-05 09:00:00,0.2,500,5,
1992-07-06 09:00:00,10.5,500,5,
1992-07-07 09:00:00,1,500,5,
1992-07-08 09:00:00,4.8,500,5,
1992-07-09 09:00:00,5.2,500,5,
1992-07-10 09:00:00,2.2,500,5,
1992-07-11 09:00:00,0.4,500,5,
1992-07-12 09:00:00,0,500,5,
1992-07-13 09:00:00,2.6,500,5,
1992-07-14 09:00:00,31.2,500,5,
1992-07-15 09:00:00,3.6,500,5,
1992-07-16 09:00:00,0,500,5,
1992-07-17 09:00:00,0,500,5,
1992-07-18 09:00:00,0,500,5,
1992-07-19 09:00:00,0.2,500,5,
1992-07-20 09:00:00,0,500,5,
1992-07-21 09:00:00,10.8,500,5,
1992-07-22 09:00:00,48.6,500,5,
1992-07-23 09:00:00,4.6,500,5,
1992-07-24 09:00:00,1.4,500,5,
1992-07-25 09:00:00,5.8,500,5,
1992-07-26 09:00:00,1,500,5,
1992-07-27 09:00:00,9.6,500,5,
1992-07-28 09:00:00,0.6,500,5,
1992-07-29 09:00:00,1.8,500,5,
1992-07-30 09:00:00,0,500,5,
1992-07-31 09:00:00,6.4,500,5,
1992-08-01 09:00:00,7.8,500,5,
1992-08-02 09:00:00,0.6,500,5,
1992-08-03 09:00:00,0,500,5,
1992-08-04 09:00:00,8.6,500,5,
1992-08-05 09:00:00,14.2,500,5,
1992-08-06 09:00:00,1.2,500,5,
1992-08-07 09:00:00,0,500,5,
1992-08-08 09:00:00,0,500,5,
1992-08-09 09:00:00,7.2,500,5,
1992-08-10 09:00:00,13.6,500,5,
1992-08-11 09:00:00,1.4,500,5,
1992-08-12 09:00:00,2.2,500,5,
1992-08-13 09:00:00,6.8,500,5,
1992-08-14 09:00:00,16,500,5,
1992-08-15 09:00:00,10.2,500,5,
1992-08-16 09:00:00,10.6,500,5,
1992-08-17 09:00:00,7.6,500,5,
1992-08-18 09:00:00,1.2,500,5,
1992-08-19 09:00:00,0.8,500,5,
1992-08-20 09:00:00,8.6,500,5,
1992-08-21 09:00:00,6,500,5,
1992-08-22 09:00:00,6.2,500,5,
1992-08-23 09:00:00,2,500,5,
1992-08-24 09:00:00,0,500,5,
1992-08-25 09:00:00,0.2,500,5,
1992-08-26 09:00:00,7.2,500,5,
1992-08-27 09:00:00,15,500,5,
1992-08-28 09:00:00,11.21,500,5,
1992-08-29 09:00:00,4.8,500,5,
1992-08-30 09:00:00,1.4,500,5,
1992-08-31 09:00:00,0,500,5,
1992-09-01 09:00:00,4,500,5,
1992-09-02 09:00:00,10.2,500,5,
1992-09-03 09:00:00,3.4,500,5,
1992-09-04 09:00:00,1,500,5,
1992-09-05 09:00:00,6.2,500,5,
1992-09-06 09:00:00,4.4,500,5,
1992-09-07 09:00:00,0.6,500,5,
1992-09-08 09:00:00,6.6,500,5,
1992-09-09 09:00:00,3.4,500,5,
1992-09-10 09:00:00,2.2,500,5,
1992-09-11 09:00:00,4,500,5,
1992-09-12 09:00:00,4.4,500,5,
1992-09-13 09:00:00,0,500,5,
1992-09-14 09:00:00,0,500,5,
1992-09-15 09:00:00,2.2,500,5,
1992-09-16 09:00:00,1.2,500,5,
1992-09-17 09:00:00,0,500,5,
1992-09-18 09:00:00,18,500,5,
1992-09-19 09:00:00,0.4,500,5,
1992-09-20 09:00:00,6.39,500,5,
1992-09-21 09:00:00,1,500,5,
1992-09-22 09:00:00,0,500,5,
1992-09-23 09:00:00,0.4,500,5,
1992-09-24 09:00:00,7.2,500,5,
1992-09-25 09:00:00,0,500,5,
1992-09-26 09:00:00,5.8,500,5,
1992-09-27 09:00:00,2.2,500,5,
1992-09-28 09:00:00,4.2,500,5,
1992-09-29 09:00:00,0,500,5,
1992-09-30 09:00:00,0,500,5,
1992-10-01 09:00:00,0,500,5,
1992-10-02 09:00:00,14.6,500,5,
1992-10-03 09:00:00,2.6,500,5,
1992-10-04 08:00:00,0.6,500,5,
1992-10-05 08:00:00,0,500,5,
1992-10-12 08:00:00,0,500,5,
1992-10-13 08:00:00,4.2,500,5,
1992-10-14 08:00:00,0.8,500,5,
1992-10-15 08:00:00,0,500,5,
1992-10-16 08:00:00,1.8,500,5,
1992-10-17 08:00:00,0,500,5,
1992-10-18 08:00:00,0,500,5,
1992-10-19 08:00:00,0,500,5,
1992-10-20 08:00:00,0,500,5,
1992-10-21 08:00:00,3.4,500,5,
1992-10-22 08:00:00,33.81,500,5,
1992-10-23 08:00:00,19.8,500,5,
1992-10-24 08:00:00,2.6,500,5,
1992-10-25 08:00:00,0.6,500,5,
1992-10-26 08:00:00,0.4,500,5,
